@relation BaseHistorica-weka.filters.unsupervised.attribute.Remove-R1

@attribute WMC numeric
@attribute LCOM numeric
@attribute NBD numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute NORM numeric
@attribute SIX numeric
@attribute MLOC numeric
@attribute NAC numeric
@attribute NSF numeric
@attribute NSM numeric
@attribute PAR numeric
@attribute NOI numeric
@attribute NOP numeric
@attribute I numeric
@attribute A numeric
@attribute Dn numeric
@attribute debug numeric
@attribute breakpoint numeric
@attribute refactoring numeric
@attribute CodErro numeric
@attribute qtdeErros numeric
@attribute classe {basic,intermediate,proficient}

@data
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,basic
3,0,2,1,0,0,0,22,0,0,1,1,0,1,1,0,0,0,0,0,0,0,basic
3,0,2,1,0,0,0,30,0,0,1,1,0,1,1,0,0,0,0,0,2,2,basic
3,0,2,1,0,0,0,30,0,0,1,1,0,1,1,0,0,0,0,0,12,2,basic
3,0,2,1,0,0,0,41,0,0,1,1,0,1,1,0,0,0,0,0,0,0,basic
3,0,2,1,0,0,0,42,0,0,1,1,0,1,1,0,0,0,0,0,0,0,basic
3,0,2,1,0,0,0,43,0,0,1,1,0,1,1,0,0,0,0,0,12,1,basic
3,0,2,1,0,0,0,43,0,0,1,1,0,1,1,0,0,0,0,0,0,0,basic
3,0,2,1,0,0,0,43,0,0,1,1,0,1,1,0,0,0,0,0,8,2,basic
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,basic
0,0,0,1,0,0,0,0,10,0,0,0,0,1,1,0,0,0,0,1,0,0,basic
1,0,1,1,0,0,0,8,10,0,0,8,0,1,1,0,0,0,0,0,1,1,basic
1,0,1,1,0,0,0,8,10,0,0,8,0,1,1,0,0,0,0,0,0,0,basic
21,0.91,1,1,0,0,0,1.333,10,0,0,0.857,0,1,1,0,0,0,0,0,0,0,basic
10.5,0.455,1,1,0,0,0,1.333,5,0,0,0.857,0,1,1,0,0,0,0,0,0,0,basic
11,0.455,1,1.5,0,0,0,1.318,5.5,0,0,1.182,0,1,1,0,0,0,0,1,2,1,basic
11,0.455,1,1.5,0,0,0,1.318,5.5,0,0,1.182,0,1,1,0,0,0,0,1,0,0,basic
11,0.455,1,1.5,0,0,0,1.409,6,0,0,1.182,0,1,1,0,0,0,0,0,0,0,basic
13,0.705,1,1.5,0,0,0,1.346,6,0,0,1.154,0,1,1,0,0,0,0,0,0,0,basic
9,0.47,1,1.333,0,0,0,1.296,4,0,0.333,1.148,0,1,1,0,0,0,0,0,0,0,basic
9,0.47,1,1.333,0,0,0,1.741,4,0,0.333,1.148,0,1,1,0,0,0,0,0,4,1,basic
9,0.47,1,1.333,0,0,0,1.741,4,0,0.333,1.148,0,1,1,0,0,0,0,0,0,0,basic
9,0.47,1,1.333,0,0,0,1.815,4,0,0.333,1.148,0,1,1,0,0,0,0,0,0,0,basic
9.333,0.47,1,1.333,0,0,0,1.963,4,0,0.333,1.148,0,1,1,0,0,0,0,0,8,1,basic
9.333,0.47,1,1.333,0,0,0,1.963,4,0,0.333,1.148,0,1,1,0,0,0,0,0,0,0,basic
10,0.47,1.037,1.333,0,0,0,2.037,4,0,0.333,1.148,0,1,1,0,0,0,0,0,0,0,basic
10,0.47,1.037,1.333,0,0,0,2.259,4,0,0.333,1.148,0,1,1,0,0,0,0,0,0,0,basic
10.667,0.47,1.037,1.333,0,0,0,2.444,4,0,0.333,1.148,0,1,1,0,0,0,0,0,1,1,basic
10.667,0.47,1.037,1.333,0,0,0,2.444,4,0,0.333,1.148,0,1,1,0,0,0,0,0,0,0,basic
11,0.47,1.037,1.333,0,0,0,2.889,4,0,0.333,1.148,0,1,1,0,0,0,0,0,1,1,basic
11,0.47,1.037,1.333,0,0,0,3.037,4,0,0.333,1.148,0,1,1,0,0,0,0,0,0,0,basic
11,0.47,1.037,1.333,0,0,0,3.111,4,0,0.333,1.148,0,1,1,0,0,0,0,0,0,0,basic
11,0.47,1.037,1.333,0,0,0,3.185,4,0,0.333,1.148,0,1,1,0,0,0,0,0,0,0,basic
11,0.47,1.037,1.333,0,0,0,3.222,4,0,0.333,1.148,0,1,1,0,0,0,0,0,0,0,basic
11,0.47,1.037,1.333,0,0,0,3.296,4,0,0.333,1.148,0,1,1,0,0,0,0,0,0,0,basic
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,basic
0.75,0,1.5,1,0,0,0,4,0.25,0,0.25,3,0,1,1,0,0,0,0,0,0,0,basic
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,basic
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,basic
0.5,0,1,1,0,0,0,3,0,0,0.5,1,0,1,1,0,0,0,0,0,0,0,basic
0.333,0,1,1,0,0,0,3,0,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
0.333,0,1,1.333,0,0,0,3,0,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
0.333,0,1,1.333,0,0,0,3,1,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
0.333,0,1,1.333,0.333,0,0,3,3.333,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
0.333,0,1,1.333,0.333,0,0,4,3.333,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
0.333,0,1,1.333,0.333,0,0,7,3.333,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
0.667,0,2,1.333,0.333,0,0,16,3.333,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
0.667,0,2,1.333,0.333,0,0,18,3.333,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
0.667,0,2,1.333,0.333,0,0,24,3.333,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
0.667,0,2,1.333,0.333,0,0,26,3.333,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
0.667,0,2,1.333,0.333,0,0,31,3.333,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
0.667,0,2,1.333,0.333,0,0,34,3.333,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
0.667,0,2,1.333,0.333,0,0,36,3.333,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
0.667,0,2,1.333,0.333,0,0,38,3.333,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
0.667,0,2,1.333,0.333,0,0,45,3.333,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
1,0,2,1.333,0.333,0,0,50,3.333,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
2,0,2,1.333,0.333,0,0,69,3.333,0,0.333,1,0,1,1,0,0,0,0,0,0,0,basic
4,0.267,1.143,1.333,0.333,0,0,10.714,3.333,0,0.333,0.571,0,1,1,0,0,0,0,0,0,0,basic
4,0.267,1.143,1.333,0.333,0,0,10.857,3.333,0,0.333,0.571,0,1,1,0,0,0,0,0,0,0,basic
